employee_id,Department,JobRole,Gender,Age,Education,BusinessTravel,YearsAtCompany,JobLevel,MonthlyIncome
129,Sales,Sales Executive,Male,28,3,Non-Travel,5,2,4221
131,Sales,Sales Executive,Male,58,4,Travel_Rarely,37,4,13872
132,Research & Development,Laboratory Technician,Male,44,3,Non-Travel,3,2,2042
133,Human Resources,Human Resources,Male,37,4,Travel_Rarely,3,1,2073
134,Research & Development,Research Scientist,Male,32,1,Travel_Rarely,1,1,2956
137,Research & Development,Laboratory Technician,Female,20,3,Travel_Frequently,1,1,2926
138,Research & Development,Research Scientist,Female,34,4,Travel_Rarely,16,2,4809
139,Research & Development,Healthcare Representative,Male,37,2,Non-Travel,1,2,5163
140,Human Resources,Manager,Female,59,4,Non-Travel,3,5,18844
141,Research & Development,Research Director,Female,50,3,Travel_Frequently,8,5,18172
142,Sales,Sales Executive,Male,25,3,Travel_Rarely,6,2,5744
143,Research & Development,Research Scientist,Male,25,1,Travel_Rarely,2,1,2889
144,Research & Development,Laboratory Technician,Female,22,3,Travel_Rarely,0,1,2871
145,Research & Development,Healthcare Representative,Female,51,4,Travel_Frequently,13,3,7484
147,Research & Development,Laboratory Technician,Male,34,3,Travel_Frequently,9,2,6074
148,Human Resources,Manager,Female,54,3,Non-Travel,5,4,17328
150,Research & Development,Laboratory Technician,Male,24,1,Travel_Rarely,5,1,2774
151,Research & Development,Research Scientist,Female,34,4,Travel_Rarely,1,2,4505
152,Sales,Sales Executive,Male,37,3,Travel_Rarely,5,3,7428
153,Research & Development,Manager,Female,34,3,Travel_Rarely,11,3,11631
154,Sales,Sales Executive,Female,36,2,Travel_Frequently,9,3,9738
155,Research & Development,Laboratory Technician,Female,36,2,Travel_Rarely,1,1,2835
158,Sales,Manager,Male,43,2,Travel_Frequently,25,4,16959
159,Research & Development,Research Scientist,Male,30,3,Travel_Frequently,10,1,2613
160,Sales,Sales Executive,Male,33,2,Non-Travel,7,2,6146
161,Research & Development,Research Scientist,Female,56,4,Travel_Rarely,5,1,4963
162,Research & Development,Research Director,Male,51,3,Travel_Rarely,20,5,19537
163,Sales,Sales Executive,Male,31,4,Travel_Rarely,7,2,6172
164,Research & Development,Research Scientist,Female,26,3,Travel_Rarely,5,1,2368
165,Research & Development,Healthcare Representative,Female,58,4,Travel_Rarely,40,3,10312
167,Sales,Sales Representative,Male,19,1,Travel_Rarely,0,1,1675
169,Research & Development,Laboratory Technician,Male,22,1,Travel_Rarely,2,1,2523
170,Research & Development,Manufacturing Director,Female,49,4,Travel_Rarely,15,2,6567
171,Research & Development,Research Scientist,Female,43,3,Travel_Frequently,3,1,4739
174,Sales,Sales Executive,Female,50,3,Travel_Frequently,2,3,9208
175,Sales,Sales Executive,Female,31,3,Travel_Rarely,2,2,4559
176,Sales,Sales Executive,Male,41,1,Travel_Rarely,9,3,8189
177,Human Resources,Human Resources,Female,26,1,Travel_Rarely,8,1,2942
178,Research & Development,Manufacturing Director,Male,36,2,Travel_Rarely,3,2,4941
179,Research & Development,Manufacturing Director,Male,51,4,Travel_Frequently,4,3,10650
182,Sales,Sales Executive,Female,39,4,Travel_Rarely,15,2,5902
183,Sales,Sales Executive,Male,25,3,Travel_Rarely,2,2,8639
184,Human Resources,Human Resources,Male,30,3,Travel_Rarely,11,2,6347
190,Research & Development,Laboratory Technician,Female,32,3,Travel_Rarely,5,1,4200
192,Research & Development,Research Scientist,Male,45,3,Travel_Rarely,6,1,3452
193,Research & Development,Research Scientist,Female,38,5,Travel_Rarely,3,2,4317
194,Research & Development,Research Scientist,Female,30,3,Travel_Rarely,5,1,2632
195,Sales,Sales Executive,Male,32,2,Travel_Frequently,8,2,4668
197,Research & Development,Research Scientist,Female,30,3,Travel_Rarely,3,1,3204
198,Research & Development,Laboratory Technician,Male,30,1,Travel_Rarely,5,1,2720
199,Research & Development,Manager,Male,41,3,Travel_Frequently,7,4,17181
200,Research & Development,Laboratory Technician,Male,41,4,Travel_Rarely,5,1,2238
201,Research & Development,Laboratory Technician,Female,19,1,Travel_Rarely,1,1,1483
202,Research & Development,Research Scientist,Female,40,3,Travel_Frequently,20,2,5605
204,Sales,Sales Executive,Male,35,5,Travel_Rarely,10,3,7295
205,Sales,Sales Representative,Male,53,2,Travel_Rarely,7,2,2306
206,Research & Development,Laboratory Technician,Male,45,3,Travel_Rarely,17,2,2348
207,Sales,Sales Executive,Female,32,3,Travel_Frequently,9,3,8998
208,Research & Development,Manufacturing Director,Male,29,1,Non-Travel,10,2,4319
211,Research & Development,Manufacturing Director,Male,51,4,Travel_Rarely,1,2,6132
214,Research & Development,Research Scientist,Female,58,3,Travel_Rarely,1,1,3346
215,Sales,Sales Executive,Male,40,4,Travel_Rarely,12,3,10855
216,Sales,Sales Representative,Female,34,4,Travel_Frequently,4,1,2231
217,Research & Development,Research Scientist,Male,22,1,Travel_Rarely,2,1,2323
218,Research & Development,Research Scientist,Male,27,3,Non-Travel,2,1,2024
221,Research & Development,Research Scientist,Male,28,3,Travel_Rarely,5,1,2713
223,Research & Development,Healthcare Representative,Male,57,2,Travel_Rarely,5,3,9439
224,Research & Development,Research Scientist,Male,27,3,Non-Travel,1,1,2566
226,Research & Development,Manager,Female,50,3,Travel_Rarely,5,5,19926
227,Research & Development,Research Scientist,Male,41,3,Travel_Rarely,9,1,2451
228,Sales,Sales Executive,Female,30,3,Travel_Rarely,10,3,9419
230,Sales,Sales Executive,Female,38,4,Travel_Rarely,8,2,8686
231,Research & Development,Research Scientist,Male,32,5,Travel_Rarely,5,1,3038
233,Research & Development,Research Scientist,Male,27,3,Travel_Rarely,5,1,3058
235,Sales,Sales Representative,Female,19,1,Travel_Frequently,0,1,2325
238,Research & Development,Laboratory Technician,Male,36,2,Travel_Frequently,8,1,2088
239,Research & Development,Laboratory Technician,Male,30,3,Non-Travel,12,2,3072
240,Sales,Sales Executive,Female,45,2,Travel_Rarely,5,2,5006
241,Research & Development,Research Scientist,Female,56,3,Travel_Rarely,2,1,4257
242,Research & Development,Research Scientist,Male,33,3,Travel_Rarely,3,1,2500
243,Research & Development,Laboratory Technician,Male,19,3,Travel_Rarely,1,1,1102
244,Sales,Sales Executive,Female,46,2,Travel_Rarely,24,3,10453
245,Research & Development,Laboratory Technician,Female,38,2,Travel_Rarely,2,1,2288
246,Research & Development,Research Scientist,Female,31,1,Travel_Rarely,4,1,3929
247,Research & Development,Research Scientist,Female,34,2,Travel_Rarely,3,1,2311
248,Sales,Sales Representative,Female,41,2,Travel_Rarely,4,1,3140
249,Research & Development,Laboratory Technician,Male,50,3,Travel_Rarely,3,1,3690
250,Research & Development,Manufacturing Director,Female,53,2,Travel_Rarely,4,2,4450
252,Research & Development,Research Scientist,Female,33,3,Travel_Rarely,8,1,2756
253,Research & Development,Manager,Female,40,1,Travel_Rarely,20,5,19033
254,Research & Development,Research Director,Male,55,4,Travel_Rarely,24,5,18722
256,Research & Development,Manufacturing Director,Male,34,1,Travel_Frequently,10,2,9547
258,Research & Development,Healthcare Representative,Female,51,3,Travel_Rarely,7,4,13734
259,Research & Development,Manager,Male,52,4,Travel_Rarely,33,5,19999
260,Research & Development,Research Scientist,Female,27,3,Travel_Rarely,7,1,2279
261,Research & Development,Manufacturing Director,Male,35,2,Travel_Rarely,1,2,5916
262,Research & Development,Research Scientist,Male,43,3,Non-Travel,5,1,2089
264,Research & Development,Manager,Male,45,2,Non-Travel,20,4,16792
267,Research & Development,Research Scientist,Male,37,3,Travel_Rarely,8,1,3564
269,Research & Development,Laboratory Technician,Female,35,3,Travel_Frequently,6,2,4425
270,Research & Development,Manufacturing Director,Female,42,2,Non-Travel,5,2,5265
271,Research & Development,Manufacturing Director,Male,38,4,Travel_Rarely,1,2,6553
273,Research & Development,Manufacturing Director,Male,38,3,Travel_Rarely,7,2,6261
274,Research & Development,Manufacturing Director,Male,27,1,Travel_Frequently,2,2,4298
275,Research & Development,Manufacturing Director,Male,49,4,Non-Travel,7,2,6804
277,Research & Development,Research Scientist,Male,34,4,Travel_Frequently,5,1,3815
281,Research & Development,Laboratory Technician,Male,40,2,Travel_Rarely,7,2,2741
282,Research & Development,Healthcare Representative,Male,38,1,Travel_Rarely,1,2,6673
283,Sales,Sales Executive,Female,29,3,Travel_Rarely,10,3,7639
284,Research & Development,Research Scientist,Male,22,3,Travel_Rarely,4,1,2328
286,Research & Development,Laboratory Technician,Female,36,1,Travel_Frequently,8,1,2153
287,Research & Development,Healthcare Representative,Male,40,5,Non-Travel,3,2,4876
288,Research & Development,Healthcare Representative,Male,46,4,Travel_Rarely,4,3,9396
291,Sales,Sales Executive,Male,32,4,Travel_Rarely,14,3,10400
292,Research & Development,Manufacturing Director,Male,30,1,Non-Travel,11,3,8474
293,Sales,Sales Executive,Female,27,3,Travel_Frequently,7,2,9981
296,Research & Development,Research Director,Male,51,4,Travel_Rarely,10,3,12490
297,Research & Development,Research Scientist,Female,30,3,Travel_Rarely,5,1,2657
298,Sales,Manager,Female,41,3,Travel_Rarely,1,3,13591
299,Sales,Sales Executive,Female,30,4,Travel_Frequently,6,2,6696
300,Research & Development,Research Scientist,Male,29,3,Travel_Rarely,6,1,2058
302,Sales,Sales Executive,Female,45,3,Non-Travel,19,3,8865
303,Sales,Sales Executive,Female,54,3,Travel_Rarely,6,2,5940
304,Research & Development,Laboratory Technician,Male,36,2,Travel_Rarely,13,2,5914
305,Research & Development,Research Scientist,Female,33,4,Travel_Rarely,3,1,2622
306,Research & Development,Research Director,Male,37,3,Travel_Frequently,10,3,12185
307,Sales,Sales Executive,Male,38,3,Travel_Rarely,16,3,10609
308,Research & Development,Manufacturing Director,Male,31,4,Non-Travel,5,2,4345
309,Research & Development,Research Scientist,Male,59,3,Travel_Rarely,1,1,2177
311,Sales,Sales Representative,Male,37,4,Travel_Frequently,9,1,2793
312,Sales,Sales Executive,Female,29,1,Travel_Frequently,11,3,7918
314,Sales,Sales Executive,Female,35,3,Travel_Frequently,10,3,8789
315,Research & Development,Research Scientist,Male,29,1,Travel_Rarely,4,1,2389
316,Research & Development,Laboratory Technician,Female,52,3,Travel_Rarely,2,1,3212
319,Research & Development,Manager,Male,42,2,Travel_Rarely,22,5,19232
321,Human Resources,Human Resources,Male,59,2,Travel_Rarely,2,1,2267
323,Sales,Manager,Female,50,4,Travel_Rarely,7,5,19517
325,Research & Development,Laboratory Technician,Male,33,3,Travel_Rarely,5,1,2436
327,Sales,Manager,Female,43,3,Travel_Rarely,17,4,16064
328,Research & Development,Laboratory Technician,Female,33,2,Travel_Rarely,9,1,2707
329,Sales,Manager,Male,52,4,Non-Travel,33,5,19068
330,Sales,Sales Representative,Female,32,2,Travel_Rarely,4,1,3931
331,Research & Development,Laboratory Technician,Male,32,3,Travel_Rarely,3,1,3730
332,Research & Development,Laboratory Technician,Female,39,4,Travel_Rarely,3,1,2232
333,Sales,Sales Executive,Male,32,4,Non-Travel,3,2,4465
334,Research & Development,Research Scientist,Male,41,2,Travel_Rarely,1,2,3072
335,Research & Development,Research Scientist,Male,40,2,Travel_Rarely,9,2,3319
336,Research & Development,Manager,Male,45,3,Travel_Rarely,24,5,19202
337,Research & Development,Research Director,Male,31,4,Travel_Frequently,2,3,13675
338,Research & Development,Research Scientist,Female,33,4,Travel_Rarely,2,1,2911
339,Research & Development,Manufacturing Director,Male,34,4,Travel_Rarely,11,2,5957
340,Research & Development,Research Scientist,Female,37,2,Travel_Rarely,3,1,3920
341,Research & Development,Manufacturing Director,Male,45,4,Travel_Frequently,3,2,6434
342,Research & Development,Manufacturing Director,Male,37,3,Travel_Frequently,1,3,10048
343,Research & Development,Healthcare Representative,Female,39,4,Travel_Frequently,19,3,10938
346,Research & Development,Research Scientist,Male,29,3,Travel_Rarely,6,1,2340
347,Research & Development,Research Scientist,Female,42,2,Travel_Rarely,3,2,6545
349,Sales,Sales Executive,Male,29,2,Travel_Rarely,3,2,6931
350,Research & Development,Manufacturing Director,Female,25,3,Travel_Rarely,4,2,4898
351,Research & Development,Laboratory Technician,Female,42,3,Travel_Rarely,9,1,2593
352,Research & Development,Research Director,Male,40,2,Travel_Rarely,21,5,19436
353,Research & Development,Research Scientist,Male,51,3,Travel_Rarely,1,1,2723
355,Research & Development,Laboratory Technician,Male,31,2,Travel_Frequently,5,1,3479
359,Research & Development,Laboratory Technician,Male,32,3,Travel_Frequently,5,1,2794
361,Sales,Sales Executive,Male,38,2,Non-Travel,8,2,5249
362,Research & Development,Laboratory Technician,Male,32,1,Travel_Rarely,6,2,2176
363,Sales,Manager,Female,46,3,Travel_Rarely,7,4,16872
364,Research & Development,Laboratory Technician,Male,28,4,Travel_Rarely,0,1,3485
366,Sales,Sales Executive,Male,29,3,Travel_Rarely,0,2,6644
367,Research & Development,Healthcare Representative,Male,31,3,Travel_Rarely,9,2,5582
369,Research & Development,Healthcare Representative,Male,25,2,Non-Travel,6,2,4000
372,Research & Development,Healthcare Representative,Male,45,2,Travel_Rarely,20,4,13496
373,Research & Development,Laboratory Technician,Male,36,3,Travel_Rarely,15,1,3210
374,Research & Development,Manager,Male,55,3,Travel_Rarely,36,5,19045
376,Research & Development,Manager,Male,47,4,Non-Travel,10,3,11849
377,Research & Development,Research Scientist,Male,28,3,Travel_Rarely,5,1,2070
378,Sales,Sales Executive,Male,37,4,Travel_Rarely,5,2,6502
379,Research & Development,Research Scientist,Male,21,2,Travel_Rarely,3,1,3230
380,Research & Development,Research Director,Female,37,4,Non-Travel,5,3,13603
381,Research & Development,Manager,Female,35,3,Travel_Rarely,7,3,11996
382,Sales,Sales Executive,Female,38,2,Travel_Rarely,8,2,5605
384,Research & Development,Manufacturing Director,Female,26,3,Travel_Frequently,6,2,6397
385,Research & Development,Research Director,Male,50,1,Travel_Rarely,10,5,19144
386,Research & Development,Research Director,Male,53,4,Travel_Rarely,5,4,17584
387,Sales,Sales Executive,Male,42,1,Travel_Rarely,20,2,4907
388,Sales,Sales Executive,Male,29,2,Travel_Frequently,10,2,4554
389,Research & Development,Laboratory Technician,Male,55,2,Travel_Rarely,10,2,5415
390,Research & Development,Healthcare Representative,Male,26,2,Travel_Frequently,5,2,4741
391,Research & Development,Research Scientist,Female,37,3,Travel_Rarely,17,1,2115
392,Research & Development,Laboratory Technician,Male,44,3,Travel_Frequently,1,1,3161
393,Research & Development,Healthcare Representative,Male,38,4,Travel_Rarely,2,2,5745
394,Research & Development,Laboratory Technician,Male,26,4,Travel_Rarely,3,1,2373
395,Research & Development,Research Scientist,Female,28,2,Travel_Rarely,5,1,3310
396,Research & Development,Research Director,Female,49,4,Travel_Frequently,3,5,18665
397,Research & Development,Research Scientist,Male,36,3,Travel_Rarely,8,2,4485
399,Sales,Sales Representative,Female,31,3,Travel_Frequently,2,1,2789
401,Sales,Sales Executive,Male,26,4,Travel_Rarely,8,2,5828
403,Research & Development,Research Scientist,Male,37,3,Travel_Frequently,4,1,2326
404,Sales,Sales Executive,Female,42,3,Travel_Frequently,20,4,13525
405,Research & Development,Laboratory Technician,Male,18,3,Travel_Rarely,0,1,1420
406,Sales,Sales Executive,Male,35,3,Travel_Rarely,11,3,8020
407,Research & Development,Laboratory Technician,Male,36,4,Travel_Frequently,1,1,3688
408,Research & Development,Manufacturing Director,Male,51,3,Travel_Rarely,4,2,5482
410,Sales,Manager,Male,41,4,Travel_Rarely,22,4,16015
411,Sales,Sales Representative,Female,18,3,Travel_Rarely,0,1,1200
412,Research & Development,Healthcare Representative,Male,28,2,Travel_Rarely,8,2,5661
416,Sales,Sales Executive,Male,31,3,Travel_Rarely,8,2,6929
417,Research & Development,Healthcare Representative,Male,39,3,Travel_Rarely,18,3,9613
419,Research & Development,Laboratory Technician,Female,36,4,Non-Travel,9,2,5674
420,Sales,Sales Executive,Male,32,3,Travel_Rarely,13,2,5484
421,Research & Development,Research Director,Female,38,2,Travel_Rarely,10,3,12061
422,Research & Development,Healthcare Representative,Male,58,4,Non-Travel,5,2,5660
423,Research & Development,Research Scientist,Male,31,4,Travel_Rarely,5,1,4821
424,Human Resources,Human Resources,Male,31,3,Travel_Rarely,2,2,6410
425,Research & Development,Laboratory Technician,Male,45,3,Travel_Frequently,24,3,5210
426,Research & Development,Research Scientist,Male,31,4,Travel_Rarely,2,1,2695
428,Research & Development,Manager,Female,33,4,Travel_Frequently,10,3,11878
429,Research & Development,Manager,Male,39,1,Travel_Rarely,21,4,17068
430,Research & Development,Laboratory Technician,Female,43,4,Travel_Frequently,8,1,2455
431,Research & Development,Healthcare Representative,Female,49,2,Travel_Rarely,7,4,13964
433,Research & Development,Research Scientist,Male,52,4,Travel_Rarely,8,2,4941
434,Research & Development,Research Scientist,Female,27,3,Travel_Rarely,4,1,2478
436,Sales,Sales Executive,Female,32,2,Travel_Rarely,13,2,5228
437,Sales,Sales Executive,Male,27,3,Travel_Rarely,5,2,4478
438,Sales,Sales Executive,Male,31,3,Travel_Rarely,7,2,7547
439,Research & Development,Research Scientist,Female,32,4,Travel_Rarely,7,2,5055
440,Research & Development,Research Scientist,Male,28,4,Travel_Rarely,3,1,3464
441,Research & Development,Research Scientist,Female,30,2,Travel_Rarely,10,2,5775
442,Research & Development,Manufacturing Director,Female,31,2,Travel_Frequently,10,3,8943
444,Research & Development,Manager,Male,39,2,Travel_Frequently,21,5,19272
445,Sales,Sales Executive,Female,39,2,Travel_Rarely,1,2,5238
446,Sales,Sales Executive,Male,33,3,Travel_Frequently,7,2,4682
447,Research & Development,Research Director,Male,47,5,Travel_Rarely,3,5,18300
448,Research & Development,Laboratory Technician,Female,43,4,Travel_Frequently,9,2,5257
449,Sales,Sales Executive,Male,27,1,Non-Travel,5,2,6349
450,Research & Development,Research Scientist,Female,54,4,Travel_Frequently,4,2,4869
451,Research & Development,Healthcare Representative,Female,43,3,Travel_Rarely,1,3,9985
452,Research & Development,Research Scientist,Male,45,4,Travel_Rarely,10,2,3697
453,Sales,Sales Executive,Male,40,2,Travel_Rarely,4,2,7457
454,Research & Development,Laboratory Technician,Male,29,4,Travel_Rarely,7,1,2119
455,Research & Development,Laboratory Technician,Male,29,5,Travel_Rarely,3,1,3983
456,Sales,Sales Executive,Female,30,3,Travel_Rarely,10,2,6118
458,Sales,Sales Executive,Female,27,4,Travel_Rarely,8,2,6214
460,Research & Development,Manufacturing Director,Male,37,2,Travel_Rarely,6,2,6347
461,Research & Development,Research Director,Male,38,2,Travel_Rarely,11,3,11510
462,Research & Development,Manufacturing Director,Female,31,4,Travel_Rarely,11,3,7143
463,Sales,Sales Executive,Female,29,1,Travel_Rarely,7,2,8268
464,Research & Development,Manufacturing Director,Male,35,4,Travel_Rarely,16,3,8095
465,Research & Development,Research Scientist,Male,23,1,Travel_Rarely,4,1,2904
466,Research & Development,Manufacturing Director,Male,41,3,Travel_Rarely,5,2,6032
467,Sales,Sales Representative,Male,47,1,Travel_Frequently,0,2,2976
468,Research & Development,Research Director,Female,42,5,Travel_Rarely,1,4,15992
469,Sales,Sales Executive,Male,29,3,Non-Travel,4,2,4649
470,Human Resources,Human Resources,Male,42,1,Travel_Rarely,3,1,2696
471,Research & Development,Laboratory Technician,Female,32,3,Travel_Rarely,8,1,2370
473,Sales,Manager,Female,48,1,Travel_Rarely,0,3,12504
474,Research & Development,Research Scientist,Male,37,3,Travel_Rarely,7,2,5974
475,Sales,Sales Executive,Female,30,2,Non-Travel,2,2,4736
476,Sales,Sales Executive,Male,26,3,Travel_Rarely,8,2,5296
477,Research & Development,Healthcare Representative,Male,42,4,Travel_Rarely,1,2,6781
478,Sales,Sales Representative,Female,21,1,Travel_Frequently,3,1,2174
479,Sales,Sales Executive,Female,36,5,Non-Travel,1,2,6653
481,Sales,Sales Executive,Male,36,4,Travel_Frequently,13,3,9699
482,Research & Development,Healthcare Representative,Male,57,4,Travel_Rarely,3,2,6755
483,Research & Development,Laboratory Technician,Female,40,4,Travel_Rarely,7,1,2213
484,Sales,Sales Representative,Male,21,2,Non-Travel,3,1,2610
485,Sales,Sales Representative,Female,33,3,Travel_Rarely,1,1,2851
486,Research & Development,Laboratory Technician,Female,37,3,Travel_Rarely,5,1,3452
487,Research & Development,Manufacturing Director,Female,46,4,Non-Travel,1,2,5258
488,Sales,Sales Executive,Male,41,3,Travel_Frequently,8,2,9355
491,Research & Development,Healthcare Representative,Male,50,3,Travel_Rarely,4,3,10496
492,Sales,Sales Executive,Male,40,2,Travel_Rarely,6,2,6380
