employee_id,risk_score,risk_level,Department,JobRole
76,68.2,Medium,Research & Development,Laboratory Technician
77,12.3,Low,Research & Development,Manufacturing Director
78,21.0,Low,Research & Development,Manufacturing Director
79,96.2,High,Research & Development,Laboratory Technician
80,1.3,Low,Research & Development,Research Director
81,72.1,Medium,Sales,Sales Executive
83,33.7,Low,Research & Development,Healthcare Representative
84,57.5,Low,Research & Development,Manager
85,32.3,Low,Research & Development,Manufacturing Director
86,9.1,Low,Research & Development,Research Scientist
88,67.9,Medium,Research & Development,Research Scientist
90,98.5,High,Research & Development,Research Scientist
91,90.9,Medium,Sales,Sales Executive
94,75.5,Medium,Research & Development,Research Scientist
95,12.5,Low,Research & Development,Research Scientist
96,56.1,Low,Research & Development,Research Scientist
97,99.1,High,Research & Development,Laboratory Technician
98,25.2,Low,Research & Development,Manufacturing Director
100,7.4,Low,Sales,Sales Executive
101,15.3,Low,Research & Development,Research Director
102,80.5,Medium,Research & Development,Research Director
103,56.6,Low,Human Resources,Human Resources
104,69.4,Medium,Research & Development,Laboratory Technician
105,19.8,Low,Research & Development,Research Scientist
106,99.3,High,Sales,Sales Executive
107,15.9,Low,Research & Development,Research Scientist
110,62.4,Medium,Research & Development,Manufacturing Director
112,72.6,Medium,Research & Development,Manufacturing Director
113,98.3,High,Sales,Sales Representative
116,93.6,High,Research & Development,Laboratory Technician
117,83.7,Medium,Research & Development,Healthcare Representative
118,24.0,Low,Sales,Sales Executive
119,90.2,Medium,Research & Development,Healthcare Representative
120,92.4,High,Sales,Sales Executive
121,64.6,Medium,Sales,Sales Executive
124,92.9,High,Research & Development,Healthcare Representative
125,21.0,Low,Sales,Sales Executive
126,97.1,High,Research & Development,Research Director
128,91.7,High,Sales,Sales Executive
129,72.0,Medium,Sales,Sales Executive
131,93.7,High,Sales,Sales Executive
132,15.8,Low,Research & Development,Laboratory Technician
133,95.6,High,Human Resources,Human Resources
134,99.8,High,Research & Development,Research Scientist
137,99.0,High,Research & Development,Laboratory Technician
138,61.9,Medium,Research & Development,Research Scientist
139,97.0,High,Research & Development,Healthcare Representative
140,32.4,Low,Human Resources,Manager
141,10.8,Low,Research & Development,Research Director
142,79.7,Medium,Sales,Sales Executive
143,95.5,High,Research & Development,Research Scientist
144,99.7,High,Research & Development,Laboratory Technician
145,28.5,Low,Research & Development,Healthcare Representative
147,9.6,Low,Research & Development,Laboratory Technician
148,88.3,Medium,Human Resources,Manager
150,86.2,Medium,Research & Development,Laboratory Technician
151,99.7,High,Research & Development,Research Scientist
152,8.6,Low,Sales,Sales Executive
153,77.8,Medium,Research & Development,Manager
154,68.2,Medium,Sales,Sales Executive
155,99.8,High,Research & Development,Laboratory Technician
158,5.4,Low,Sales,Manager
159,88.4,Medium,Research & Development,Research Scientist
160,6.3,Low,Sales,Sales Executive
161,67.2,Medium,Research & Development,Research Scientist
162,89.7,Medium,Research & Development,Research Director
163,73.0,Medium,Sales,Sales Executive
164,19.6,Low,Research & Development,Research Scientist
165,74.3,Medium,Research & Development,Healthcare Representative
167,99.8,High,Sales,Sales Representative
169,15.1,Low,Research & Development,Laboratory Technician
170,65.5,Medium,Research & Development,Manufacturing Director
171,88.6,Medium,Research & Development,Research Scientist
174,75.6,Medium,Sales,Sales Executive
175,67.3,Medium,Sales,Sales Executive
176,78.3,Medium,Sales,Sales Executive
177,79.5,Medium,Human Resources,Human Resources
178,25.5,Low,Research & Development,Manufacturing Director
179,98.9,High,Research & Development,Manufacturing Director
182,13.9,Low,Sales,Sales Executive
183,18.3,Low,Sales,Sales Executive
184,33.3,Low,Human Resources,Human Resources
190,63.7,Medium,Research & Development,Laboratory Technician
192,68.1,Medium,Research & Development,Research Scientist
193,62.5,Medium,Research & Development,Research Scientist
194,7.8,Low,Research & Development,Research Scientist
195,77.8,Medium,Sales,Sales Executive
197,9.2,Low,Research & Development,Research Scientist
198,46.6,Low,Research & Development,Laboratory Technician
199,2.5,Low,Research & Development,Manager
200,88.8,Medium,Research & Development,Laboratory Technician
201,8.2,Low,Research & Development,Laboratory Technician
202,91.8,High,Research & Development,Research Scientist
204,96.0,High,Sales,Sales Executive
205,23.0,Low,Sales,Sales Representative
206,73.9,Medium,Research & Development,Laboratory Technician
207,10.9,Low,Sales,Sales Executive
208,92.0,High,Research & Development,Manufacturing Director
211,12.1,Low,Research & Development,Manufacturing Director
214,96.4,High,Research & Development,Research Scientist
215,56.1,Low,Sales,Sales Executive
216,92.3,High,Sales,Sales Representative
217,5.9,Low,Research & Development,Research Scientist
218,21.8,Low,Research & Development,Research Scientist
221,86.0,Medium,Research & Development,Research Scientist
223,4.9,Low,Research & Development,Healthcare Representative
224,21.9,Low,Research & Development,Research Scientist
226,93.9,High,Research & Development,Manager
227,91.6,High,Research & Development,Research Scientist
228,19.7,Low,Sales,Sales Executive
230,1.8,Low,Sales,Sales Executive
231,57.0,Low,Research & Development,Research Scientist
233,35.7,Low,Research & Development,Research Scientist
235,98.5,High,Sales,Sales Representative
238,83.4,Medium,Research & Development,Laboratory Technician
239,13.9,Low,Research & Development,Laboratory Technician
240,25.3,Low,Sales,Sales Executive
241,84.7,Medium,Research & Development,Research Scientist
242,14.0,Low,Research & Development,Research Scientist
243,94.2,High,Research & Development,Laboratory Technician
244,62.5,Medium,Sales,Sales Executive
245,21.7,Low,Research & Development,Laboratory Technician
246,76.1,Medium,Research & Development,Research Scientist
247,62.6,Medium,Research & Development,Research Scientist
248,4.4,Low,Sales,Sales Representative
249,21.6,Low,Research & Development,Laboratory Technician
250,1.8,Low,Research & Development,Manufacturing Director
252,9.1,Low,Research & Development,Research Scientist
253,0.7,Low,Research & Development,Manager
254,9.1,Low,Research & Development,Research Director
256,11.7,Low,Research & Development,Manufacturing Director
258,76.4,Medium,Research & Development,Healthcare Representative
259,88.5,Medium,Research & Development,Manager
260,4.0,Low,Research & Development,Research Scientist
261,99.4,High,Research & Development,Manufacturing Director
262,2.7,Low,Research & Development,Research Scientist
264,12.3,Low,Research & Development,Manager
267,19.9,Low,Research & Development,Research Scientist
269,63.3,Medium,Research & Development,Laboratory Technician
270,90.3,Medium,Research & Development,Manufacturing Director
271,21.6,Low,Research & Development,Manufacturing Director
273,74.0,Medium,Research & Development,Manufacturing Director
274,23.5,Low,Research & Development,Manufacturing Director
275,18.9,Low,Research & Development,Manufacturing Director
277,41.0,Low,Research & Development,Research Scientist
281,92.8,High,Research & Development,Laboratory Technician
282,51.4,Low,Research & Development,Healthcare Representative
283,80.0,Medium,Sales,Sales Executive
284,2.9,Low,Research & Development,Research Scientist
286,62.5,Medium,Research & Development,Laboratory Technician
287,95.7,High,Research & Development,Healthcare Representative
288,16.8,Low,Research & Development,Healthcare Representative
291,36.8,Low,Sales,Sales Executive
292,19.6,Low,Research & Development,Manufacturing Director
293,15.1,Low,Sales,Sales Executive
296,82.9,Medium,Research & Development,Research Director
297,13.0,Low,Research & Development,Research Scientist
298,96.2,High,Sales,Manager
299,90.6,Medium,Sales,Sales Executive
300,16.4,Low,Research & Development,Research Scientist
302,85.8,Medium,Sales,Sales Executive
303,4.4,Low,Sales,Sales Executive
304,74.2,Medium,Research & Development,Laboratory Technician
305,95.1,High,Research & Development,Research Scientist
306,64.7,Medium,Research & Development,Research Director
307,3.4,Low,Sales,Sales Executive
308,57.3,Low,Research & Development,Manufacturing Director
309,98.6,High,Research & Development,Research Scientist
311,88.6,Medium,Sales,Sales Representative
312,87.7,Medium,Sales,Sales Executive
314,28.7,Low,Sales,Sales Executive
315,55.9,Low,Research & Development,Research Scientist
316,6.8,Low,Research & Development,Laboratory Technician
319,3.0,Low,Research & Development,Manager
321,6.9,Low,Human Resources,Human Resources
323,84.2,Medium,Sales,Manager
325,15.4,Low,Research & Development,Laboratory Technician
327,95.2,High,Sales,Manager
328,41.1,Low,Research & Development,Laboratory Technician
329,6.3,Low,Sales,Manager
330,40.5,Low,Sales,Sales Representative
331,79.5,Medium,Research & Development,Laboratory Technician
332,78.8,Medium,Research & Development,Laboratory Technician
333,88.1,Medium,Sales,Sales Executive
334,97.6,High,Research & Development,Research Scientist
335,79.5,Medium,Research & Development,Research Scientist
336,2.4,Low,Research & Development,Manager
337,95.0,High,Research & Development,Research Director
338,78.7,Medium,Research & Development,Research Scientist
339,17.2,Low,Research & Development,Manufacturing Director
340,91.4,High,Research & Development,Research Scientist
341,78.7,Medium,Research & Development,Manufacturing Director
342,96.9,High,Research & Development,Manufacturing Director
343,92.1,High,Research & Development,Healthcare Representative
346,2.8,Low,Research & Development,Research Scientist
347,96.5,High,Research & Development,Research Scientist
349,21.4,Low,Sales,Sales Executive
350,37.9,Low,Research & Development,Manufacturing Director
351,83.6,Medium,Research & Development,Laboratory Technician
352,86.3,Medium,Research & Development,Research Director
353,97.9,High,Research & Development,Research Scientist
355,90.8,Medium,Research & Development,Laboratory Technician
359,19.1,Low,Research & Development,Laboratory Technician
361,9.3,Low,Sales,Sales Executive
362,15.2,Low,Research & Development,Laboratory Technician
363,12.7,Low,Sales,Manager
364,82.1,Medium,Research & Development,Laboratory Technician
366,93.0,High,Sales,Sales Executive
367,78.6,Medium,Research & Development,Healthcare Representative
369,93.0,High,Research & Development,Healthcare Representative
372,13.6,Low,Research & Development,Healthcare Representative
373,4.8,Low,Research & Development,Laboratory Technician
374,83.6,Medium,Research & Development,Manager
376,88.6,Medium,Research & Development,Manager
377,22.6,Low,Research & Development,Research Scientist
378,11.5,Low,Sales,Sales Executive
379,5.3,Low,Research & Development,Research Scientist
380,87.6,Medium,Research & Development,Research Director
381,13.5,Low,Research & Development,Manager
382,8.0,Low,Sales,Sales Executive
384,92.3,High,Research & Development,Manufacturing Director
385,11.1,Low,Research & Development,Research Director
386,23.9,Low,Research & Development,Research Director
387,87.9,Medium,Sales,Sales Executive
388,75.5,Medium,Sales,Sales Executive
389,9.4,Low,Research & Development,Laboratory Technician
390,34.6,Low,Research & Development,Healthcare Representative
391,17.0,Low,Research & Development,Research Scientist
392,95.5,High,Research & Development,Laboratory Technician
393,16.5,Low,Research & Development,Healthcare Representative
394,27.9,Low,Research & Development,Laboratory Technician
395,21.7,Low,Research & Development,Research Scientist
396,3.4,Low,Research & Development,Research Director
397,29.8,Low,Research & Development,Research Scientist
399,6.2,Low,Sales,Sales Representative
401,83.7,Medium,Sales,Sales Executive
403,12.8,Low,Research & Development,Research Scientist
404,10.8,Low,Sales,Sales Executive
405,98.4,High,Research & Development,Laboratory Technician
406,89.9,Medium,Sales,Sales Executive
407,99.8,High,Research & Development,Laboratory Technician
408,91.2,High,Research & Development,Manufacturing Director
410,96.8,High,Sales,Manager
411,93.6,High,Sales,Sales Representative
412,82.0,Medium,Research & Development,Healthcare Representative
416,79.5,Medium,Sales,Sales Executive
417,7.3,Low,Research & Development,Healthcare Representative
419,75.5,Medium,Research & Development,Laboratory Technician
420,43.1,Low,Sales,Sales Executive
421,7.9,Low,Research & Development,Research Director
422,57.7,Low,Research & Development,Healthcare Representative
423,9.8,Low,Research & Development,Research Scientist
424,72.6,Medium,Human Resources,Human Resources
425,12.4,Low,Research & Development,Laboratory Technician
426,90.1,Medium,Research & Development,Research Scientist
428,80.3,Medium,Research & Development,Manager
429,9.8,Low,Research & Development,Manager
430,86.0,Medium,Research & Development,Laboratory Technician
431,7.8,Low,Research & Development,Healthcare Representative
433,7.4,Low,Research & Development,Research Scientist
434,75.7,Medium,Research & Development,Research Scientist
436,69.0,Medium,Sales,Sales Executive
437,77.9,Medium,Sales,Sales Executive
438,31.1,Low,Sales,Sales Executive
439,61.6,Medium,Research & Development,Research Scientist
440,85.0,Medium,Research & Development,Research Scientist
441,25.9,Low,Research & Development,Research Scientist
442,13.6,Low,Research & Development,Manufacturing Director
444,2.5,Low,Research & Development,Manager
445,74.2,Medium,Sales,Sales Executive
446,5.7,Low,Sales,Sales Executive
447,8.2,Low,Research & Development,Research Director
448,57.8,Low,Research & Development,Laboratory Technician
449,97.3,High,Sales,Sales Executive
450,95.2,High,Research & Development,Research Scientist
451,8.4,Low,Research & Development,Healthcare Representative
452,94.0,High,Research & Development,Research Scientist
453,63.7,Medium,Sales,Sales Executive
454,90.4,Medium,Research & Development,Laboratory Technician
455,15.7,Low,Research & Development,Laboratory Technician
456,20.0,Low,Sales,Sales Executive
458,88.9,Medium,Sales,Sales Executive
460,13.0,Low,Research & Development,Manufacturing Director
461,15.3,Low,Research & Development,Research Director
462,14.4,Low,Research & Development,Manufacturing Director
463,67.9,Medium,Sales,Sales Executive
464,36.2,Low,Research & Development,Manufacturing Director
465,97.4,High,Research & Development,Research Scientist
466,36.4,Low,Research & Development,Manufacturing Director
467,99.5,High,Sales,Sales Representative
468,89.5,Medium,Research & Development,Research Director
469,90.6,Medium,Sales,Sales Executive
470,16.2,Low,Human Resources,Human Resources
471,59.3,Low,Research & Development,Laboratory Technician
473,89.4,Medium,Sales,Manager
474,5.6,Low,Research & Development,Research Scientist
475,24.7,Low,Sales,Sales Executive
476,35.0,Low,Sales,Sales Executive
477,98.6,High,Research & Development,Healthcare Representative
478,6.8,Low,Sales,Sales Representative
479,99.9,High,Sales,Sales Executive
481,5.7,Low,Sales,Sales Executive
482,89.3,Medium,Research & Development,Healthcare Representative
483,92.9,High,Research & Development,Laboratory Technician
484,93.8,High,Sales,Sales Representative
485,99.6,High,Sales,Sales Representative
486,83.6,Medium,Research & Development,Laboratory Technician
487,78.4,Medium,Research & Development,Manufacturing Director
488,3.5,Low,Sales,Sales Executive
491,69.3,Medium,Research & Development,Healthcare Representative
492,62.1,Medium,Sales,Sales Executive
493,81.4,Medium,Research & Development,Research Scientist
494,93.3,High,Sales,Sales Representative
495,81.1,Medium,Research & Development,Research Scientist
496,98.9,High,Research & Development,Healthcare Representative
497,79.2,Medium,Research & Development,Laboratory Technician
498,23.6,Low,Sales,Sales Executive
499,11.6,Low,Research & Development,Healthcare Representative
500,93.5,High,Sales,Sales Executive
501,12.6,Low,Research & Development,Research Scientist
502,17.3,Low,Sales,Sales Executive
505,11.7,Low,Research & Development,Manager
507,93.1,High,Sales,Sales Executive
508,58.4,Low,Sales,Sales Representative
510,72.2,Medium,Research & Development,Research Scientist
511,77.0,Medium,Research & Development,Research Scientist
513,74.1,Medium,Sales,Sales Executive
514,91.6,High,Research & Development,Research Scientist
515,80.4,Medium,Research & Development,Laboratory Technician
516,73.9,Medium,Sales,Sales Executive
517,79.0,Medium,Research & Development,Laboratory Technician
518,90.7,Medium,Research & Development,Manufacturing Director
520,12.6,Low,Research & Development,Research Director
521,99.4,High,Research & Development,Laboratory Technician
522,6.1,Low,Research & Development,Research Director
523,95.6,High,Sales,Sales Executive
524,19.1,Low,Research & Development,Manufacturing Director
525,7.2,Low,Research & Development,Laboratory Technician
526,28.2,Low,Research & Development,Healthcare Representative
527,24.5,Low,Sales,Sales Executive
529,13.7,Low,Research & Development,Research Scientist
530,19.3,Low,Research & Development,Laboratory Technician
531,0.5,Low,Research & Development,Manager
532,89.3,Medium,Sales,Sales Executive
533,80.6,Medium,Sales,Sales Executive
534,14.6,Low,Sales,Sales Executive
536,83.8,Medium,Research & Development,Laboratory Technician
538,25.4,Low,Research & Development,Laboratory Technician
543,17.4,Low,Research & Development,Manufacturing Director
544,94.0,High,Research & Development,Research Scientist
546,83.3,Medium,Research & Development,Manager
547,70.6,Medium,Research & Development,Research Scientist
548,38.5,Low,Research & Development,Manufacturing Director
549,10.6,Low,Research & Development,Manager
550,35.8,Low,Research & Development,Manufacturing Director
551,16.8,Low,Research & Development,Healthcare Representative
554,5.3,Low,Sales,Sales Representative
555,8.5,Low,Sales,Sales Representative
556,97.9,High,Research & Development,Laboratory Technician
558,3.1,Low,Sales,Manager
560,85.2,Medium,Research & Development,Research Scientist
562,12.1,Low,Research & Development,Laboratory Technician
564,92.7,High,Research & Development,Research Director
565,6.4,Low,Research & Development,Research Scientist
566,98.4,High,Human Resources,Human Resources
567,54.9,Low,Sales,Sales Executive
568,3.9,Low,Sales,Manager
569,92.9,High,Research & Development,Manager
571,78.6,Medium,Research & Development,Laboratory Technician
573,73.1,Medium,Sales,Sales Executive
574,57.2,Low,Research & Development,Manufacturing Director
575,82.1,Medium,Research & Development,Research Director
577,26.6,Low,Research & Development,Laboratory Technician
578,18.0,Low,Research & Development,Laboratory Technician
579,9.0,Low,Research & Development,Research Scientist
580,11.5,Low,Sales,Sales Executive
581,16.7,Low,Research & Development,Manufacturing Director
582,84.2,Medium,Research & Development,Manager
584,92.4,High,Research & Development,Laboratory Technician
585,4.5,Low,Sales,Sales Representative
586,24.4,Low,Research & Development,Healthcare Representative
587,98.6,High,Research & Development,Healthcare Representative
590,16.8,Low,Human Resources,Human Resources
591,86.1,Medium,Research & Development,Laboratory Technician
592,32.3,Low,Sales,Sales Executive
593,15.0,Low,Research & Development,Laboratory Technician
595,34.4,Low,Sales,Sales Executive
597,86.9,Medium,Sales,Manager
599,25.7,Low,Sales,Sales Executive
600,13.8,Low,Sales,Sales Executive
601,75.7,Medium,Research & Development,Manufacturing Director
602,9.3,Low,Research & Development,Laboratory Technician
604,20.6,Low,Sales,Sales Executive
605,93.7,High,Research & Development,Manufacturing Director
606,24.5,Low,Sales,Sales Executive
608,47.4,Low,Human Resources,Human Resources
611,22.5,Low,Research & Development,Manufacturing Director
612,97.0,High,Research & Development,Research Director
613,20.1,Low,Sales,Manager
614,50.3,Low,Sales,Sales Representative
615,10.8,Low,Sales,Sales Executive
616,19.4,Low,Research & Development,Healthcare Representative
618,18.2,Low,Sales,Sales Executive
620,7.8,Low,Sales,Sales Executive
621,15.1,Low,Sales,Sales Executive
622,87.9,Medium,Research & Development,Laboratory Technician
623,8.3,Low,Research & Development,Manufacturing Director
624,81.8,Medium,Research & Development,Healthcare Representative
625,94.1,High,Sales,Manager
626,10.0,Low,Sales,Sales Executive
630,22.6,Low,Research & Development,Research Scientist
631,6.4,Low,Sales,Sales Executive
632,8.7,Low,Sales,Sales Representative
634,25.2,Low,Research & Development,Healthcare Representative
635,39.2,Low,Research & Development,Manufacturing Director
638,13.9,Low,Research & Development,Research Director
639,81.4,Medium,Research & Development,Research Scientist
641,95.8,High,Sales,Sales Executive
643,98.8,High,Research & Development,Laboratory Technician
644,51.1,Low,Human Resources,Manager
645,3.9,Low,Sales,Sales Representative
647,84.2,Medium,Research & Development,Laboratory Technician
648,99.0,High,Sales,Sales Representative
649,19.4,Low,Research & Development,Research Scientist
650,62.7,Medium,Sales,Sales Executive
652,63.0,Medium,Research & Development,Laboratory Technician
653,72.2,Medium,Sales,Sales Executive
655,75.7,Medium,Research & Development,Research Scientist
656,3.3,Low,Sales,Sales Executive
657,99.8,High,Research & Development,Research Scientist
659,13.9,Low,Research & Development,Healthcare Representative
661,97.9,High,Research & Development,Research Director
662,96.0,High,Research & Development,Research Scientist
663,18.2,Low,Research & Development,Laboratory Technician
664,8.1,Low,Research & Development,Manager
665,22.8,Low,Human Resources,Human Resources
666,16.9,Low,Sales,Sales Representative
667,1.0,Low,Sales,Sales Representative
669,26.7,Low,Sales,Sales Representative
671,95.2,High,Research & Development,Manager
675,30.1,Low,Research & Development,Research Scientist
677,84.3,Medium,Sales,Sales Executive
679,85.6,Medium,Research & Development,Research Scientist
680,99.4,High,Research & Development,Research Scientist
682,97.9,High,Sales,Sales Executive
683,99.1,High,Research & Development,Research Scientist
684,99.5,High,Sales,Sales Executive
686,5.2,Low,Research & Development,Laboratory Technician
689,7.0,Low,Research & Development,Manufacturing Director
690,27.2,Low,Sales,Sales Executive
691,5.7,Low,Research & Development,Research Scientist
692,10.8,Low,Research & Development,Healthcare Representative
698,28.3,Low,Human Resources,Human Resources
699,10.5,Low,Research & Development,Manufacturing Director
700,97.5,High,Research & Development,Research Scientist
701,99.7,High,Research & Development,Research Scientist
702,73.6,Medium,Research & Development,Research Scientist
704,98.1,High,Research & Development,Laboratory Technician
705,99.3,High,Research & Development,Research Scientist
707,75.4,Medium,Sales,Sales Executive
709,9.9,Low,Sales,Sales Executive
710,51.3,Low,Research & Development,Research Scientist
712,91.6,High,Sales,Sales Executive
714,34.2,Low,Sales,Sales Executive
715,97.6,High,Research & Development,Research Scientist
716,83.4,Medium,Research & Development,Laboratory Technician
717,13.4,Low,Research & Development,Healthcare Representative
720,82.7,Medium,Sales,Sales Executive
721,94.9,High,Research & Development,Healthcare Representative
722,67.5,Medium,Sales,Sales Executive
723,5.9,Low,Sales,Sales Executive
724,12.0,Low,Research & Development,Healthcare Representative
725,10.2,Low,Research & Development,Manufacturing Director
727,16.1,Low,Research & Development,Research Director
728,86.5,Medium,Sales,Sales Executive
729,12.4,Low,Sales,Sales Executive
730,3.2,Low,Research & Development,Research Director
731,1.6,Low,Human Resources,Manager
732,87.3,Medium,Sales,Sales Executive
733,83.4,Medium,Research & Development,Manufacturing Director
734,2.9,Low,Human Resources,Manager
738,93.4,High,Sales,Sales Representative
741,5.9,Low,Research & Development,Research Scientist
742,17.4,Low,Research & Development,Research Director
743,99.7,High,Research & Development,Manufacturing Director
744,4.9,Low,Research & Development,Laboratory Technician
746,4.6,Low,Sales,Sales Executive
747,16.1,Low,Sales,Sales Executive
749,8.5,Low,Sales,Sales Representative
752,15.4,Low,Research & Development,Research Scientist
754,11.8,Low,Sales,Sales Executive
757,17.8,Low,Research & Development,Healthcare Representative
758,84.8,Medium,Research & Development,Laboratory Technician
760,74.9,Medium,Human Resources,Human Resources
762,86.5,Medium,Research & Development,Healthcare Representative
763,10.6,Low,Research & Development,Research Scientist
764,31.8,Low,Research & Development,Healthcare Representative
766,62.4,Medium,Sales,Sales Representative
769,9.0,Low,Research & Development,Laboratory Technician
771,98.0,High,Research & Development,Healthcare Representative
772,21.4,Low,Research & Development,Laboratory Technician
773,17.3,Low,Research & Development,Research Scientist
775,98.7,High,Research & Development,Manufacturing Director
776,99.0,High,Sales,Manager
780,93.4,High,Research & Development,Research Scientist
781,85.2,Medium,Sales,Sales Executive
783,14.4,Low,Sales,Sales Representative
784,95.4,High,Research & Development,Research Scientist
785,70.2,Medium,Sales,Sales Executive
786,79.6,Medium,Sales,Sales Executive
787,97.1,High,Research & Development,Manager
789,73.1,Medium,Sales,Sales Executive
791,4.7,Low,Research & Development,Research Scientist
792,19.9,Low,Research & Development,Laboratory Technician
793,89.9,Medium,Research & Development,Healthcare Representative
796,57.8,Low,Sales,Sales Executive
797,90.5,Medium,Research & Development,Research Scientist
799,55.0,Low,Research & Development,Manufacturing Director
800,89.7,Medium,Sales,Sales Executive
802,9.4,Low,Research & Development,Research Scientist
803,9.4,Low,Research & Development,Manufacturing Director
804,57.8,Low,Research & Development,Research Scientist
805,16.9,Low,Sales,Sales Representative
806,9.3,Low,Research & Development,Laboratory Technician
807,16.6,Low,Research & Development,Healthcare Representative
808,83.2,Medium,Sales,Sales Executive
809,1.0,Low,Research & Development,Manager
811,99.7,High,Research & Development,Laboratory Technician
812,96.7,High,Research & Development,Laboratory Technician
813,1.2,Low,Research & Development,Laboratory Technician
815,86.4,Medium,Research & Development,Research Director
816,20.3,Low,Research & Development,Laboratory Technician
817,34.2,Low,Research & Development,Research Director
819,28.7,Low,Sales,Sales Executive
820,73.3,Medium,Research & Development,Manager
823,20.2,Low,Research & Development,Manufacturing Director
824,82.4,Medium,Research & Development,Research Scientist
825,1.9,Low,Research & Development,Research Director
826,11.0,Low,Research & Development,Research Scientist
827,93.3,High,Research & Development,Manufacturing Director
828,33.3,Low,Research & Development,Research Scientist
829,94.7,High,Human Resources,Human Resources
830,59.4,Medium,Research & Development,Manufacturing Director
832,87.0,Medium,Research & Development,Laboratory Technician
833,98.0,High,Research & Development,Manufacturing Director
834,92.3,High,Research & Development,Research Scientist
836,20.4,Low,Research & Development,Manufacturing Director
837,71.0,Medium,Research & Development,Healthcare Representative
838,18.6,Low,Research & Development,Research Scientist
840,83.2,Medium,Sales,Sales Executive
842,82.3,Medium,Sales,Sales Executive
843,8.2,Low,Research & Development,Research Director
844,92.0,High,Research & Development,Research Director
845,80.4,Medium,Research & Development,Manufacturing Director
846,5.1,Low,Sales,Sales Executive
847,51.8,Low,Human Resources,Human Resources
848,6.3,Low,Research & Development,Research Scientist
850,99.5,High,Research & Development,Research Scientist
851,99.3,High,Sales,Manager
852,84.9,Medium,Research & Development,Healthcare Representative
854,90.0,Medium,Research & Development,Research Scientist
855,87.9,Medium,Sales,Sales Executive
856,23.8,Low,Research & Development,Research Scientist
857,89.4,Medium,Sales,Sales Executive
859,75.5,Medium,Sales,Sales Executive
861,65.5,Medium,Research & Development,Research Scientist
862,6.0,Low,Sales,Sales Executive
864,10.5,Low,Sales,Sales Executive
865,19.8,Low,Research & Development,Research Scientist
867,5.0,Low,Research & Development,Manufacturing Director
868,63.0,Medium,Sales,Sales Executive
869,21.8,Low,Human Resources,Human Resources
872,2.0,Low,Research & Development,Manufacturing Director
874,94.2,High,Research & Development,Laboratory Technician
875,14.7,Low,Research & Development,Research Scientist
878,7.6,Low,Human Resources,Human Resources
879,22.3,Low,Sales,Sales Executive
880,15.9,Low,Research & Development,Manufacturing Director
881,15.4,Low,Research & Development,Research Scientist
882,45.0,Low,Research & Development,Laboratory Technician
885,83.6,Medium,Sales,Sales Executive
