employee_id,Department,JobRole,Gender,Age,Education,BusinessTravel,YearsAtCompany,JobLevel,MonthlyIncome,orientation_completed,training_completion_percent,onboarding_days,onboarding_status,manager_assigned,buddy_assigned,first_week_checkin,onboarding_completion_date,total_tickets,high_priority_tickets,avg_resolution_hours,early_tool_actions,early_unique_tools,early_login_count,early_active_minutes
15,Research & Development,Laboratory Technician,Female,29,2,Travel_Rarely,9,2,4193,Yes,92.1,17,Completed,Yes,Yes,Yes,2017-07-28,1.0,1.0,10.1,3,3,33,417
16,Research & Development,Research Scientist,Male,31,1,Travel_Rarely,5,1,2911,Yes,94.6,13,Completed,Yes,Yes,Yes,2021-08-12,0.0,0.0,,4,3,33,633
18,Research & Development,Laboratory Technician,Male,34,2,Travel_Rarely,2,1,2661,Yes,99.5,11,Completed,Yes,Yes,Yes,2024-08-04,2.0,0.0,6.5,2,2,24,444
19,Research & Development,Laboratory Technician,Male,28,3,Travel_Rarely,4,1,2028,Yes,91.0,18,Completed,Yes,Yes,Yes,2022-08-14,1.0,0.0,2.2,3,3,35,560
20,Research & Development,Manufacturing Director,Female,29,4,Travel_Rarely,10,3,9980,Yes,92.4,18,Completed,Yes,Yes,Yes,2016-08-20,0.0,0.0,,4,4,34,1071
21,Research & Development,Research Scientist,Male,32,2,Travel_Rarely,6,1,3298,Yes,91.5,16,Completed,Yes,Yes,Yes,2020-07-25,0.0,0.0,,8,8,70,1215
22,Research & Development,Laboratory Technician,Male,22,2,Non-Travel,1,1,2935,Yes,84.6,9,Completed,Yes,Yes,Yes,2026-01-24,2.0,1.0,21.95,3,3,14,445
23,Sales,Manager,Female,53,4,Travel_Rarely,25,4,15427,Yes,97.1,18,Completed,Yes,Yes,Yes,2016-08-20,0.0,0.0,,5,4,47,1372
24,Research & Development,Research Scientist,Male,38,3,Travel_Rarely,3,1,3944,Yes,87.6,12,Completed,Yes,Yes,Yes,2023-08-07,1.0,1.0,17.3,4,4,44,823
26,Research & Development,Manufacturing Director,Female,24,2,Non-Travel,4,2,4011,Yes,96.7,7,Completed,Yes,Yes,Yes,2022-06-29,0.0,0.0,,3,3,12,666
27,Sales,Sales Representative,Male,36,4,Travel_Rarely,5,1,3407,Yes,87.1,15,Completed,Yes,Yes,Yes,2021-07-24,1.0,0.0,3.2,3,3,40,609
28,Research & Development,Research Director,Female,34,4,Travel_Rarely,12,3,11994,Yes,94.0,15,Completed,Yes,Yes,Yes,2016-08-17,0.0,0.0,,2,2,20,591
30,Research & Development,Research Scientist,Male,21,2,Travel_Rarely,0,1,1232,Yes,92.7,13,Completed,Yes,Yes,Yes,2026-02-19,3.0,0.0,6.0,2,2,4,112
31,Research & Development,Research Scientist,Male,34,1,Travel_Rarely,4,1,2960,Yes,84.9,12,Completed,Yes,Yes,Yes,2022-06-28,2.0,1.0,8.0,5,4,52,1104
32,Research & Development,Manager,Female,53,3,Travel_Rarely,14,5,19094,Yes,85.4,15,Completed,Yes,Yes,Yes,2016-08-17,0.0,0.0,,6,5,48,1148
33,Research & Development,Research Scientist,Female,32,1,Travel_Frequently,10,1,3919,Yes,91.1,15,Completed,Yes,Yes,Yes,2016-08-17,1.0,1.0,30.5,4,4,48,495
35,Sales,Sales Executive,Male,42,4,Travel_Rarely,9,2,6825,Yes,96.9,17,Completed,Yes,Yes,Yes,2017-07-30,0.0,0.0,,3,3,46,575
36,Research & Development,Healthcare Representative,Female,44,4,Travel_Rarely,22,3,10248,Yes,84.6,5,Completed,Yes,Yes,Yes,2016-08-07,0.0,0.0,,1,1,3,168
38,Sales,Manager,Female,46,4,Travel_Rarely,2,5,18947,Yes,86.3,9,Completed,Yes,Yes,Yes,2024-06-19,1.0,0.0,7.6,5,4,55,1306
39,Research & Development,Laboratory Technician,Male,33,3,Travel_Rarely,1,1,2496,Yes,98.9,16,Completed,Yes,Yes,Yes,2026-02-01,0.0,0.0,,1,1,9,298
40,Research & Development,Healthcare Representative,Male,44,4,Travel_Rarely,4,2,6465,Yes,84.3,12,Completed,Yes,Yes,Yes,2022-07-24,1.0,0.0,2.8,4,4,37,909
41,Research & Development,Laboratory Technician,Male,30,2,Travel_Rarely,10,1,2206,Yes,97.7,15,Completed,Yes,Yes,Yes,2016-08-17,0.0,0.0,,3,2,29,655
42,Sales,Sales Representative,Male,39,3,Travel_Rarely,1,2,2086,Yes,82.8,16,Completed,Yes,Yes,Yes,2025-10-23,3.0,1.0,14.700000000000001,1,1,3,28
45,Research & Development,Research Scientist,Male,24,3,Travel_Rarely,2,1,2293,Yes,90.8,16,Completed,Yes,Yes,Yes,2024-07-12,0.0,0.0,,4,4,41,856
46,Research & Development,Research Scientist,Female,43,2,Travel_Rarely,5,1,2645,Yes,88.6,14,Completed,Yes,Yes,Yes,2021-07-09,1.0,0.0,2.7,6,5,64,1252
47,Sales,Sales Representative,Male,50,2,Travel_Rarely,3,1,2683,Yes,87.2,7,Completed,Yes,Yes,Yes,2023-07-14,0.0,0.0,,7,6,69,1032
49,Sales,Sales Representative,Female,35,3,Travel_Rarely,2,1,2014,Yes,89.9,17,Completed,Yes,Yes,Yes,2024-07-16,1.0,0.0,9.2,4,3,32,867
51,Research & Development,Research Scientist,Female,36,4,Travel_Rarely,1,1,3419,Yes,71.6,28,In Progress,Yes,Yes,Yes,,0.0,0.0,,4,3,42,634
52,Sales,Sales Executive,Female,33,3,Travel_Frequently,5,2,5376,Yes,81.3,11,Completed,Yes,Yes,Yes,2021-07-05,0.0,0.0,,6,4,78,1074
53,Research & Development,Laboratory Technician,Male,35,2,Travel_Rarely,1,1,1951,No,38.9,42,Delayed,No,Yes,Yes,,1.0,0.0,9.1,2,2,6,114
54,Research & Development,Laboratory Technician,Female,27,4,Travel_Rarely,1,1,2341,Yes,86.8,9,Completed,Yes,Yes,Yes,2025-12-04,1.0,1.0,22.6,3,3,20,596
55,Research & Development,Laboratory Technician,Male,26,3,Travel_Rarely,1,1,2293,Yes,80.1,16,Completed,Yes,Yes,Yes,2025-10-29,0.0,0.0,,7,5,67,1662
56,Sales,Sales Executive,Male,27,3,Travel_Frequently,9,3,8726,Yes,94.4,13,Completed,Yes,Yes,Yes,2017-06-20,1.0,1.0,12.5,3,3,34,491
57,Research & Development,Laboratory Technician,Female,30,2,Travel_Frequently,12,2,4011,Yes,83.6,6,Completed,Yes,Yes,Yes,2016-08-08,0.0,0.0,,2,2,23,387
58,Research & Development,Research Director,Female,41,3,Travel_Rarely,22,5,19545,Yes,92.5,18,Completed,Yes,Yes,Yes,2016-08-20,1.0,0.0,2.4,1,1,16,265
60,Sales,Sales Executive,Male,34,4,Non-Travel,9,2,4568,Yes,90.2,8,Completed,Yes,Yes,Yes,2017-07-01,0.0,0.0,,4,3,47,933
61,Research & Development,Research Scientist,Male,37,2,Travel_Rarely,1,1,3022,Yes,83.2,17,Completed,Yes,Yes,Yes,2026-01-10,2.0,0.0,7.6,4,3,20,552
62,Sales,Sales Executive,Male,46,4,Travel_Frequently,9,2,5772,Yes,90.6,5,Completed,Yes,Yes,Yes,2017-06-09,1.0,0.0,3.8,5,4,54,992
63,Research & Development,Laboratory Technician,Male,35,1,Travel_Rarely,1,1,2269,Yes,80.4,10,Completed,Yes,Yes,Yes,2025-09-11,1.0,0.0,1.4,3,3,31,352
64,Research & Development,Laboratory Technician,Male,48,2,Travel_Rarely,1,3,5381,Yes,84.8,14,Completed,Yes,Yes,Yes,2025-11-29,2.0,2.0,28.4,2,2,19,505
65,Research & Development,Laboratory Technician,Male,28,4,Travel_Rarely,2,1,3441,Yes,81.6,16,Completed,Yes,Yes,Yes,2024-06-17,1.0,0.0,11.9,3,3,29,426
68,Sales,Sales Executive,Female,44,5,Travel_Rarely,4,2,5454,Yes,96.3,17,Completed,Yes,Yes,Yes,2022-07-18,2.0,0.0,2.05,3,3,37,688
70,Research & Development,Healthcare Representative,Male,35,2,Non-Travel,4,3,9884,Yes,95.3,7,Completed,Yes,Yes,Yes,2022-07-05,0.0,0.0,,4,4,50,1165
72,Sales,Sales Executive,Female,26,3,Travel_Rarely,2,2,4157,Yes,89.5,13,Completed,Yes,Yes,Yes,2024-07-02,1.0,1.0,24.7,6,4,55,1239
73,Research & Development,Research Director,Female,33,2,Travel_Frequently,15,3,13458,Yes,85.3,18,Completed,Yes,Yes,Yes,2016-08-20,0.0,0.0,,5,4,55,1400
74,Sales,Sales Executive,Male,35,5,Travel_Frequently,9,3,9069,Yes,88.5,8,Completed,Yes,Yes,Yes,2017-07-03,1.0,1.0,23.4,4,3,48,845
75,Research & Development,Laboratory Technician,Female,35,4,Travel_Rarely,2,1,4014,Yes,90.8,16,Completed,Yes,Yes,Yes,2024-06-18,1.0,1.0,49.0,4,4,46,858
76,Research & Development,Laboratory Technician,Male,31,4,Travel_Rarely,7,2,5915,Yes,84.0,9,Completed,Yes,Yes,Yes,2019-06-28,0.0,0.0,,5,5,49,772
77,Research & Development,Manufacturing Director,Male,37,4,Travel_Rarely,7,2,5993,Yes,99.9,15,Completed,Yes,Yes,Yes,2019-07-23,0.0,0.0,,3,3,51,695
78,Research & Development,Manufacturing Director,Male,32,3,Travel_Rarely,9,2,6162,Yes,88.8,13,Completed,Yes,Yes,Yes,2017-07-23,0.0,0.0,,8,7,112,1797
79,Research & Development,Laboratory Technician,Female,38,5,Travel_Frequently,10,2,2406,Yes,82.4,8,Completed,Yes,Yes,Yes,2016-08-10,0.0,0.0,,2,1,8,336
80,Research & Development,Research Director,Female,50,2,Travel_Rarely,27,5,18740,Yes,86.8,14,Completed,Yes,Yes,Yes,2016-08-16,1.0,0.0,1.5,4,3,41,638
81,Sales,Sales Executive,Female,59,3,Travel_Rarely,21,3,7637,Yes,84.6,8,Completed,Yes,Yes,Yes,2016-08-10,1.0,1.0,35.5,4,4,42,896
83,Research & Development,Healthcare Representative,Female,36,3,Travel_Rarely,17,3,10096,Yes,81.4,15,Completed,Yes,Yes,Yes,2016-08-17,1.0,1.0,25.2,3,2,34,456
84,Research & Development,Manager,Female,55,3,Travel_Rarely,5,4,14756,Yes,84.6,5,Completed,Yes,Yes,Yes,2021-08-03,2.0,0.0,3.25,3,2,42,696
85,Research & Development,Manufacturing Director,Male,36,3,Travel_Frequently,6,2,6499,Yes,86.6,13,Completed,Yes,Yes,Yes,2020-06-20,1.0,0.0,3.4,5,4,57,1091
86,Research & Development,Research Scientist,Male,45,3,Travel_Rarely,1,3,9724,Yes,89.7,13,Completed,Yes,Yes,Yes,2025-12-16,0.0,0.0,,3,3,29,707
88,Research & Development,Research Scientist,Male,35,3,Travel_Frequently,3,1,2194,Yes,94.5,14,Completed,Yes,Yes,Yes,2023-08-07,0.0,0.0,,4,4,56,978
90,Research & Development,Research Scientist,Male,36,3,Travel_Rarely,1,1,3388,Yes,95.7,17,Completed,Yes,Yes,Yes,2025-09-24,3.0,2.0,19.099999999999998,3,3,6,149
91,Sales,Sales Executive,Female,59,1,Travel_Frequently,4,2,5473,Yes,83.8,6,Completed,Yes,Yes,Yes,2022-07-12,1.0,0.0,3.0,7,5,87,1720
94,Research & Development,Research Scientist,Male,29,3,Travel_Rarely,5,1,2703,Yes,88.6,11,Completed,Yes,Yes,Yes,2021-07-01,0.0,0.0,,3,3,43,647
95,Research & Development,Research Scientist,Male,31,4,Travel_Rarely,1,1,2501,Yes,94.6,15,Completed,Yes,Yes,Yes,2025-11-03,0.0,0.0,,4,3,49,979
96,Research & Development,Research Scientist,Male,32,3,Travel_Rarely,10,2,6220,Yes,99.7,6,Completed,Yes,Yes,Yes,2016-08-08,0.0,0.0,,4,4,46,896
97,Research & Development,Laboratory Technician,Female,36,3,Travel_Rarely,1,1,3038,Yes,86.8,18,Completed,Yes,Yes,Yes,2026-02-04,0.0,0.0,,3,3,44,597
98,Research & Development,Manufacturing Director,Female,31,4,Travel_Rarely,11,2,4424,Yes,85.0,8,Completed,Yes,Yes,Yes,2016-08-10,1.0,0.0,7.1,6,6,58,1059
100,Sales,Sales Executive,Male,35,4,Travel_Rarely,15,2,4312,Yes,89.0,11,Completed,Yes,Yes,Yes,2016-08-13,0.0,0.0,,7,6,59,1516
101,Research & Development,Research Director,Male,45,4,Travel_Rarely,0,3,13245,Yes,85.0,6,Completed,Yes,Yes,Yes,2026-06-11,1.0,0.0,3.0,3,3,38,539
102,Research & Development,Research Director,Male,37,4,Travel_Rarely,5,3,13664,Yes,96.2,18,Completed,Yes,Yes,Yes,2021-07-22,1.0,0.0,2.3,5,3,51,995
103,Human Resources,Human Resources,Male,46,2,Travel_Rarely,4,2,5021,Yes,82.0,15,Completed,Yes,Yes,Yes,2022-07-12,1.0,0.0,3.7,3,3,11,812
104,Research & Development,Laboratory Technician,Male,30,1,Travel_Rarely,10,2,5126,Yes,96.7,6,Completed,Yes,Yes,Yes,2016-08-08,1.0,0.0,1.3,3,3,36,795
105,Research & Development,Research Scientist,Male,35,3,Travel_Rarely,6,1,2859,Yes,95.1,8,Completed,Yes,Yes,Yes,2020-06-11,1.0,0.0,2.7,4,4,55,891
106,Sales,Sales Executive,Male,55,2,Travel_Rarely,1,3,10239,Yes,89.6,18,Completed,Yes,Yes,Yes,2026-01-08,3.0,0.0,5.333333333333333,2,2,4,91
107,Research & Development,Research Scientist,Female,38,3,Non-Travel,13,2,5329,Yes,98.0,7,Completed,Yes,Yes,Yes,2016-08-09,1.0,0.0,3.7,6,5,51,1475
110,Research & Development,Manufacturing Director,Male,34,2,Travel_Rarely,5,2,4325,Yes,80.0,11,Completed,Yes,Yes,Yes,2021-07-19,0.0,0.0,,5,5,56,1025
112,Research & Development,Manufacturing Director,Male,56,3,Travel_Rarely,6,3,7260,Yes,98.5,17,Completed,Yes,Yes,Yes,2020-08-02,0.0,0.0,,2,2,29,510
113,Sales,Sales Representative,Male,23,1,Travel_Rarely,0,1,2322,Yes,93.9,16,Completed,Yes,Yes,Yes,2026-04-12,2.0,0.0,5.35,2,2,17,537
116,Research & Development,Laboratory Technician,Male,51,4,Travel_Rarely,4,1,2075,Yes,91.1,16,Completed,Yes,Yes,Yes,2022-06-28,0.0,0.0,,3,3,35,647
117,Research & Development,Healthcare Representative,Male,30,3,Travel_Rarely,11,2,4152,Yes,83.1,9,Completed,Yes,Yes,Yes,2016-08-11,0.0,0.0,,6,5,51,1344
118,Sales,Sales Executive,Male,46,2,Travel_Rarely,9,3,9619,Yes,99.4,14,Completed,Yes,Yes,Yes,2017-08-03,1.0,0.0,2.8,2,2,30,499
119,Research & Development,Healthcare Representative,Male,40,4,Travel_Frequently,22,4,13503,Yes,90.8,16,Completed,Yes,Yes,Yes,2016-08-18,0.0,0.0,,1,1,10,176
120,Sales,Sales Executive,Male,51,4,Travel_Rarely,10,2,5441,Yes,81.1,14,Completed,Yes,Yes,Yes,2016-08-16,0.0,0.0,,3,3,27,990
121,Sales,Sales Executive,Female,30,2,Travel_Rarely,11,2,5209,Yes,90.1,18,Completed,Yes,Yes,Yes,2016-08-20,0.0,0.0,,5,4,64,856
124,Research & Development,Healthcare Representative,Male,46,3,Travel_Frequently,10,3,10673,Yes,83.1,13,Completed,Yes,Yes,Yes,2016-08-15,1.0,0.0,9.2,3,3,30,631
125,Sales,Sales Executive,Male,32,4,Travel_Rarely,11,2,5010,Yes,97.0,6,Completed,Yes,Yes,Yes,2016-08-08,0.0,0.0,,5,3,51,1119
126,Research & Development,Research Director,Female,54,4,Travel_Rarely,4,3,13549,Yes,81.4,18,Completed,Yes,Yes,Yes,2022-07-12,1.0,0.0,1.4,2,2,33,354
128,Sales,Sales Executive,Female,24,2,Travel_Rarely,3,2,4999,Yes,88.1,14,Completed,Yes,Yes,Yes,2023-07-31,1.0,1.0,11.8,7,5,79,1415
129,Sales,Sales Executive,Male,28,3,Non-Travel,5,2,4221,Yes,91.6,5,Completed,Yes,Yes,Yes,2021-07-22,1.0,0.0,1.6,2,2,28,480
131,Sales,Sales Executive,Male,58,4,Travel_Rarely,37,4,13872,Yes,81.6,15,Completed,Yes,Yes,Yes,2016-08-17,0.0,0.0,,2,1,18,394
132,Research & Development,Laboratory Technician,Male,44,3,Non-Travel,3,2,2042,Yes,91.3,10,Completed,Yes,Yes,Yes,2023-07-05,0.0,0.0,,3,2,26,843
133,Human Resources,Human Resources,Male,37,4,Travel_Rarely,3,1,2073,Yes,85.2,15,Completed,Yes,Yes,Yes,2023-06-18,1.0,1.0,13.5,3,3,34,835
134,Research & Development,Research Scientist,Male,32,1,Travel_Rarely,1,1,2956,Yes,85.3,7,Completed,Yes,Yes,Yes,2025-08-09,2.0,1.0,20.85,2,2,24,474
137,Research & Development,Laboratory Technician,Female,20,3,Travel_Frequently,1,1,2926,Yes,89.1,17,Completed,Yes,Yes,Yes,2025-08-31,0.0,0.0,,2,2,7,476
138,Research & Development,Research Scientist,Female,34,4,Travel_Rarely,16,2,4809,Yes,81.5,12,Completed,Yes,Yes,Yes,2016-08-14,0.0,0.0,,5,4,39,1256
139,Research & Development,Healthcare Representative,Male,37,2,Non-Travel,1,2,5163,Yes,32.7,29,Delayed,Yes,Yes,Yes,,3.0,0.0,4.066666666666666,3,3,7,129
140,Human Resources,Manager,Female,59,4,Non-Travel,3,5,18844,Yes,87.0,6,Completed,Yes,Yes,Yes,2023-06-09,1.0,0.0,9.8,2,2,22,383
141,Research & Development,Research Director,Female,50,3,Travel_Frequently,8,5,18172,Yes,84.9,9,Completed,Yes,Yes,Yes,2018-06-16,0.0,0.0,,4,3,52,1011
142,Sales,Sales Executive,Male,25,3,Travel_Rarely,6,2,5744,Yes,88.8,13,Completed,Yes,Yes,Yes,2020-08-04,0.0,0.0,,5,5,59,1306
143,Research & Development,Research Scientist,Male,25,1,Travel_Rarely,2,1,2889,Yes,86.1,17,Completed,Yes,Yes,Yes,2024-07-03,0.0,0.0,,2,2,15,445
144,Research & Development,Laboratory Technician,Female,22,3,Travel_Rarely,0,1,2871,Yes,93.4,13,Completed,Yes,Yes,Yes,2026-02-17,3.0,0.0,7.666666666666667,2,2,5,124
145,Research & Development,Healthcare Representative,Female,51,4,Travel_Frequently,13,3,7484,Yes,98.6,6,Completed,Yes,Yes,Yes,2016-08-08,1.0,0.0,2.8,2,2,29,288
147,Research & Development,Laboratory Technician,Male,34,3,Travel_Frequently,9,2,6074,Yes,97.6,9,Completed,Yes,Yes,Yes,2017-06-12,2.0,1.0,10.85,2,2,20,375
148,Human Resources,Manager,Female,54,3,Non-Travel,5,4,17328,Yes,97.8,16,Completed,Yes,Yes,Yes,2021-08-10,1.0,0.0,3.7,3,3,25,546
150,Research & Development,Laboratory Technician,Male,24,1,Travel_Rarely,5,1,2774,Yes,83.1,9,Completed,Yes,Yes,Yes,2021-07-06,0.0,0.0,,4,3,53,1056
151,Research & Development,Research Scientist,Female,34,4,Travel_Rarely,1,2,4505,Yes,86.9,15,Completed,Yes,Yes,Yes,2025-09-15,3.0,1.0,4.366666666666666,2,2,6,106
152,Sales,Sales Executive,Male,37,3,Travel_Rarely,5,3,7428,Yes,97.1,13,Completed,Yes,Yes,Yes,2021-07-05,1.0,0.0,7.3,5,5,68,1076
153,Research & Development,Manager,Female,34,3,Travel_Rarely,11,3,11631,Yes,85.0,18,Completed,Yes,Yes,Yes,2016-08-20,0.0,0.0,,7,6,73,1541
154,Sales,Sales Executive,Female,36,2,Travel_Frequently,9,3,9738,Yes,81.8,11,Completed,Yes,Yes,Yes,2017-08-10,0.0,0.0,,3,3,30,967
155,Research & Development,Laboratory Technician,Female,36,2,Travel_Rarely,1,1,2835,Yes,86.7,7,Completed,Yes,Yes,Yes,2025-11-30,3.0,0.0,3.8666666666666667,2,2,5,132
158,Sales,Manager,Male,43,2,Travel_Frequently,25,4,16959,Yes,99.6,7,Completed,Yes,Yes,Yes,2016-08-09,0.0,0.0,,5,5,48,896
159,Research & Development,Research Scientist,Male,30,3,Travel_Frequently,10,1,2613,Yes,88.8,16,Completed,Yes,Yes,Yes,2016-08-18,1.0,1.0,34.4,5,4,51,1163
160,Sales,Sales Executive,Male,33,2,Non-Travel,7,2,6146,Yes,91.2,6,Completed,Yes,Yes,Yes,2019-07-12,0.0,0.0,,5,5,57,1201
161,Research & Development,Research Scientist,Female,56,4,Travel_Rarely,5,1,4963,Yes,98.9,16,Completed,Yes,Yes,Yes,2021-08-13,0.0,0.0,,3,3,36,819
162,Research & Development,Research Director,Male,51,3,Travel_Rarely,20,5,19537,Yes,83.0,5,Completed,Yes,Yes,Yes,2016-08-07,0.0,0.0,,7,6,72,1672
163,Sales,Sales Executive,Male,31,4,Travel_Rarely,7,2,6172,Yes,87.4,13,Completed,Yes,Yes,Yes,2019-06-23,0.0,0.0,,3,2,25,452
164,Research & Development,Research Scientist,Female,26,3,Travel_Rarely,5,1,2368,Yes,88.6,5,Completed,Yes,Yes,Yes,2021-07-28,0.0,0.0,,4,4,46,433
165,Research & Development,Healthcare Representative,Female,58,4,Travel_Rarely,40,3,10312,Yes,87.3,17,Completed,Yes,Yes,Yes,2016-08-19,0.0,0.0,,2,1,31,232
167,Sales,Sales Representative,Male,19,1,Travel_Rarely,0,1,1675,Yes,27.4,42,Delayed,Yes,Yes,Yes,,2.0,0.0,4.05,2,2,5,78
169,Research & Development,Laboratory Technician,Male,22,1,Travel_Rarely,2,1,2523,Yes,97.5,14,Completed,Yes,Yes,Yes,2024-06-19,0.0,0.0,,3,3,29,711
170,Research & Development,Manufacturing Director,Female,49,4,Travel_Rarely,15,2,6567,Yes,83.1,8,Completed,Yes,Yes,Yes,2016-08-10,0.0,0.0,,6,4,66,1175
171,Research & Development,Research Scientist,Female,43,3,Travel_Frequently,3,1,4739,Yes,83.3,17,Completed,Yes,Yes,Yes,2023-06-24,1.0,0.0,10.4,4,4,42,812
174,Sales,Sales Executive,Female,50,3,Travel_Frequently,2,3,9208,Yes,83.5,11,Completed,Yes,Yes,Yes,2024-06-21,0.0,0.0,,3,2,30,762
175,Sales,Sales Executive,Female,31,3,Travel_Rarely,2,2,4559,Yes,83.6,10,Completed,Yes,Yes,Yes,2024-08-09,2.0,1.0,17.0,5,4,53,794
176,Sales,Sales Executive,Male,41,1,Travel_Rarely,9,3,8189,Yes,98.6,17,Completed,Yes,Yes,Yes,2017-06-30,0.0,0.0,,4,4,28,912
177,Human Resources,Human Resources,Female,26,1,Travel_Rarely,8,1,2942,Yes,97.3,17,Completed,Yes,Yes,Yes,2018-07-08,1.0,0.0,6.3,3,2,44,297
178,Research & Development,Manufacturing Director,Male,36,2,Travel_Rarely,3,2,4941,Yes,85.3,17,Completed,Yes,Yes,Yes,2023-08-03,0.0,0.0,,6,6,68,1111
179,Research & Development,Manufacturing Director,Male,51,4,Travel_Frequently,4,3,10650,Yes,82.2,18,Completed,Yes,Yes,Yes,2022-07-06,0.0,0.0,,1,1,7,81
182,Sales,Sales Executive,Female,39,4,Travel_Rarely,15,2,5902,Yes,97.2,8,Completed,Yes,Yes,Yes,2016-08-10,1.0,0.0,3.3,3,2,35,679
183,Sales,Sales Executive,Male,25,3,Travel_Rarely,2,2,8639,Yes,96.3,12,Completed,Yes,Yes,Yes,2024-07-31,1.0,0.0,5.3,7,6,74,1807
184,Human Resources,Human Resources,Male,30,3,Travel_Rarely,11,2,6347,Yes,86.1,17,Completed,Yes,Yes,Yes,2016-08-19,1.0,0.0,7.9,2,2,21,305
190,Research & Development,Laboratory Technician,Female,32,3,Travel_Rarely,5,1,4200,Yes,84.6,5,Completed,Yes,Yes,Yes,2021-06-12,0.0,0.0,,4,4,46,654
192,Research & Development,Research Scientist,Male,45,3,Travel_Rarely,6,1,3452,Yes,83.9,10,Completed,Yes,Yes,Yes,2020-06-30,1.0,0.0,7.7,7,6,87,1392
193,Research & Development,Research Scientist,Female,38,5,Travel_Rarely,3,2,4317,Yes,97.3,17,Completed,Yes,Yes,Yes,2023-08-01,0.0,0.0,,3,3,25,617
194,Research & Development,Research Scientist,Female,30,3,Travel_Rarely,5,1,2632,Yes,87.0,13,Completed,Yes,Yes,Yes,2021-07-28,1.0,0.0,2.0,5,5,35,771
195,Sales,Sales Executive,Male,32,2,Travel_Frequently,8,2,4668,Yes,93.6,18,Completed,Yes,Yes,Yes,2018-07-26,0.0,0.0,,4,4,43,901
197,Research & Development,Research Scientist,Female,30,3,Travel_Rarely,3,1,3204,Yes,86.6,5,Completed,Yes,Yes,Yes,2023-07-03,0.0,0.0,,4,4,39,898
198,Research & Development,Laboratory Technician,Male,30,1,Travel_Rarely,5,1,2720,Yes,97.5,9,Completed,Yes,Yes,Yes,2021-08-03,0.0,0.0,,2,2,25,275
199,Research & Development,Manager,Male,41,3,Travel_Frequently,7,4,17181,Yes,91.6,9,Completed,Yes,Yes,Yes,2019-07-31,0.0,0.0,,6,6,53,819
200,Research & Development,Laboratory Technician,Male,41,4,Travel_Rarely,5,1,2238,Yes,82.2,11,Completed,Yes,Yes,Yes,2021-08-10,2.0,0.0,7.699999999999999,4,4,30,543
201,Research & Development,Laboratory Technician,Female,19,1,Travel_Rarely,1,1,1483,Yes,86.3,14,Completed,Yes,Yes,Yes,2025-11-19,1.0,0.0,10.7,6,6,59,989
202,Research & Development,Research Scientist,Female,40,3,Travel_Frequently,20,2,5605,Yes,82.3,14,Completed,Yes,Yes,Yes,2016-08-16,1.0,0.0,2.3,5,3,68,1354
204,Sales,Sales Executive,Male,35,5,Travel_Rarely,10,3,7295,Yes,85.1,16,Completed,Yes,Yes,Yes,2016-08-18,1.0,0.0,3.9,4,4,52,966
